id;idEmpresa;idContacto;pago_cuenta;idApunte;importe;forma;idListado
2004138;24878;36947928;49184896;49184896;131;2;0
2004146;24878;36947928;49185044;49185044;22;2;0
2004159;24878;36947928;49185416;49185416;153;2;0
2004174;24878;36947928;49185636;49185636;595;2;0
2004186;24878;36947928;49185879;49185879;1252;2;0
2004194;24878;36947928;49186186;49186186;1723;2;0
2004198;24878;36947928;49186295;49186295;255;2;0
2004737;24878;37116686;49200957;49200957;38;1;0
2005913;24878;37473885;49228719;49228719;384;2;0
2006788;24878;37473885;49228719;49252087;-384;2;0
2006789;24878;37473885;49252088;49252088;384;2;0
2007299;24878;37473885;49252088;49266332;-208;2;0
2007479;24878;34982009;49269442;49269442;100;1;0
2007724;24878;37473885;49252088;49275037;208;2;0
2007726;24878;37473885;49275122;49275122;78.6;2;0
2007729;24878;37473885;49252088;49275173;-208;2;0
2007734;24878;37473885;49252088;49275272;208;2;0
2007738;24878;37473885;49252088;49275390;-117;2;0
2008913;24878;37519701;49308130;49308130;433.8;2;0
2008949;24878;37519701;49308130;49309330;-252;2;0
2008951;24878;37519701;49308130;49309440;252;2;0
2010629;24878;34982009;49352480;49352480;8840;3;0
2010630;24878;34982009;49352480;49352488;-100;3;0
2010631;24878;34982009;49352480;49352490;-80;3;0
2010632;24878;34982009;49352480;49352492;-80;3;0
2010633;24878;34982009;49352480;49352494;-80;3;0
2010636;24878;34982009;49352480;49352626;100;3;0
2010637;24878;34982009;49352480;49352628;80;3;0
2010638;24878;34982009;49352480;49352629;80;3;0
2010639;24878;34982009;49352480;49352631;80;3;0
2010814;24878;34982009;49352480;49356444;-595;3;0
2010815;24878;34982009;49352480;49356446;-595;3;0
2010816;24878;34982009;49352480;49356448;-595;3;0
2010817;24878;34982009;49352480;49356450;-153;3;0
2010818;24878;34982009;49352480;49356452;-153;3;0
2020211;24878;36949093;49608587;49608587;150;2;0
2024702;24878;36947928;49184896;49722786;-85;2;0
2024703;24878;36947928;49184896;49722788;-46;2;0
2024704;24878;36947928;49185044;49722790;-22;2;0
2024705;24878;36947928;49185416;49722792;-17;2;0
2024706;24878;36947928;49185416;49722794;-85;2;0
2024956;24878;35406036;49728682;49728682;595;2;0
2025696;24878;36949093;49608587;49748938;-150;2;0
2028000;24878;37521621;49794079;49794079;605;2;0
2028289;24878;37116686;49200957;49803184;-38;1;0
2034798;24878;36947928;49185416;49964227;-51;2;0
2034799;24878;36947928;49185636;49964229;-544;2;0
2035514;24878;37473885;49252088;49988734;-90;2;0
2039556;24878;34982009;49352480;50113995;-595;3;0
2039557;24878;34982009;49352480;50113997;-595;3;0
2039558;24878;34982009;49352480;50113999;-595;3;0
2039559;24878;34982009;49352480;50114001;-595;3;0
2039560;24878;34982009;49352480;50114003;-51;3;0
2039561;24878;34982009;49352480;50114005;-51;3;0
2039562;24878;34982009;49352480;50114007;-51;3;0
2039563;24878;34982009;49352480;50114009;-51;3;0
2039564;24878;34982009;49352480;50114011;-153;3;0
2039565;24878;34982009;49352480;50114013;-153;3;0
2043770;24878;35406036;49728682;50230985;-433;2;0
2043771;24878;35406036;49728682;50230987;-162;2;0
2045549;24878;37896544;50275964;50275964;2779.26;3;0
2052825;24878;36947928;49185636;50461463;-51;2;0
2052826;24878;36947928;49185879;50461465;-246.5;2;0
2059886;24878;36947928;49185879;50687412;-595;2;0
2059887;24878;36947928;49185879;50687414;-410.5;2;0
2059888;24878;36947928;49186186;50687416;-184.5;2;0
2059891;24878;36947928;49186186;50687677;-1538.5;2;0
2059892;24878;36947928;49186295;50687679;-255;2;0
