idApunteConcepto;idApunte;idAgenda;idProvee;idEmpresa;idUsuario;decla;importe;base;iva;porcentajeret;fecha;fecha2;nfactura;forma;detalles;descripcion;anulado;tipo;requivalencia;rfuente;retica;precio;descuento;unidades
830794;46167815;0;242753;24878;203131;0;-172.42;-165.79;4;0;"2025-06-17 12:55:46";2025-05-23;0000165150;2;"MATERIAL  CLINICA";"INSTRUMENTAL  CLINICA";0;2;0;0;0;-165.79;0;0
830806;46168594;0;242811;24878;203131;0;-38.72;-32;21;0;"2025-06-17 13:13:59";2025-05-27;25012940/0001;1;EXTINTOR;EXTINTOR;0;2;0;0;0;-32;0;0
830818;46169031;0;242812;24878;203131;0;-129.52;-107.04;21;0;"2025-06-17 13:23:01";2025-05-22;F01786892;2;"MATERIAL  CLINICA";"MATERIAL  CLINICA";0;2;0;0;0;-107.04;0;0
831031;46186811;0;242747;24878;203131;0;-45;-45;0;0;"2025-06-18 10:26:32";2025-06-11;;1;REBASE;REBASE;0;2;0;0;0;-45;0;0
831036;46186879;183051;242747;24878;203131;0;-45;-45;0;0;"2025-06-18 10:29:14";2025-06-13;;1;"REBASE NHC47";"REBASE NHC47";0;2;0;0;0;-45;0;0
831039;46186994;0;242747;24878;203131;0;-45;-45;0;0;"2025-06-18 10:32:31";2025-06-16;;1;"REBASE NHC57";"REBASE NHC57";0;2;0;0;0;-45;0;0
831040;46187055;183051;242747;24878;203131;0;-45;-45;0;0;"2025-06-18 10:34:32";2025-06-18;;1;"REBASE NHC57";"REBASE NHC57";0;2;0;0;0;-45;0;0
831645;46241050;183051;242747;24878;203131;0;-90;-90;0;0;"2025-06-20 19:30:30";2025-06-20;;3;"nhc 47";"nhc 47";0;2;0;0;0;-90;0;0
831646;46241069;183051;242747;24878;203131;0;-90;-90;0;0;"2025-06-20 19:31:46";2025-06-20;;3;"nhc 57";"nhc 57";0;2;0;0;0;-90;0;0
832457;46306761;0;242747;24878;203131;0;-55;-55;0;0;"2025-06-26 10:48:26";2025-06-26;;3;"REBASE Y COMPOSTURA";"REBASE Y COMPOSTURA";0;2;0;0;0;-55;0;0
