id;idFacturaConcepto;idApunte;idEmpresa;importe;estado;idFactura
1983914;27495560;46332298;24878;40;1;16401311
1983933;27495360;46332652;24878;40;1;16401196
1983973;27495421;46333130;24878;40;1;16401235
1983991;27405609;46334605;24878;60;1;16342276
1983992;27405610;46334606;24878;60;1;16342276
1983993;27405611;46334607;24878;60;1;16342276
1983994;27405612;46334608;24878;60;1;16342276
1983995;27405613;46334609;24878;60;1;16342276
1983996;27405614;46334610;24878;60;1;16342276
1983997;27405615;46334611;24878;60;1;16342276
1983998;27405607;46334431;24878;30;1;16342276
1983999;27405606;46334430;24878;15;1;16342276
1984002;27497166;46334979;24878;60;1;16402369
1984003;27497165;46334978;24878;45;1;16402369
1984006;27554255;46335133;24878;30;1;16439669
1984007;27554254;46335132;24878;15;1;16439669
1984015;27554311;46335386;24878;30;1;16439702
1984016;27554310;46335385;24878;15;1;16439702
1985261;27496262;46362443;24878;30;1;16401725
1985262;27496262;46362442;24878;15;1;16401725
1985383;27673208;46367902;24878;750;0;16509610
1985384;27673208;46367864;24878;650;1;16509610
1985489;27578628;46372644;24878;60;1;16457215
1987544;27495660;46405372;24878;180;1;16401365
2002188;27670826;46584833;24878;650;1;16512163
