idrelacion;idempresa;idfranquicia;idpresupuesto;idpresupuestorelacionado;presupuestoprincipal;nopuedeserprincipal
2716735;24878;0;0;5265543;1;0
2718786;24878;0;0;5267594;1;0
2731403;24878;0;0;5280211;1;0
2731410;24878;0;0;5280218;1;0
2731459;24878;0;0;5280267;1;0
2731471;24878;0;0;5280279;1;0
2731495;24878;0;0;5280303;1;0
2731511;24878;0;0;5280319;1;0
2731523;24878;0;0;5280331;1;0
2734430;24878;0;0;5283238;1;0
2735144;24878;0;0;5283952;1;0
2735434;24878;0;0;5284242;1;0
2735446;24878;0;0;5284254;1;0
2736067;24878;0;0;5284875;1;0
2736357;24878;0;0;5285165;1;0
2736686;24878;0;0;5285494;1;0
2736843;24878;0;0;5285651;1;0
2736933;24878;0;0;5285741;1;0
2736940;24878;0;0;5285748;1;0
2737377;24878;0;0;5286185;1;0
2742998;24878;0;0;5291806;1;0
2743590;24878;0;0;5292398;1;0
2743640;24878;0;0;5292448;1;0
2743831;24878;0;0;5292639;1;0
2743924;24878;0;0;5292732;1;0
2743934;24878;0;0;5292742;1;0
2745540;24878;0;0;5294348;1;0
2745724;24878;0;0;5294532;1;0
2745804;24878;0;0;5294612;1;0
2745947;24878;0;0;5294755;1;0
2745954;24878;0;0;5294762;1;0
2746898;24878;0;0;5295706;1;0
2747325;24878;0;0;5296133;1;0
2748416;24878;0;0;5297224;1;0
2748721;24878;0;0;5297529;1;0
2748924;24878;0;0;5297732;1;0
2748946;24878;0;0;5297754;1;0
2749377;24878;0;0;5298185;1;0
2749583;24878;0;0;5298391;1;0
2749597;24878;0;0;5298405;1;0
2749602;24878;0;0;5298410;1;0
2749608;24878;0;0;5298416;1;0
2749611;24878;0;0;5298419;1;0
2750038;24878;0;0;5298846;1;0
2750263;24878;0;0;5299071;1;0
2750266;24878;0;0;5299074;1;0
2750274;24878;0;0;5299082;1;0
2752511;24878;0;0;5301319;1;0
2754245;24878;0;0;5303053;1;0
2754261;24878;0;0;5303069;1;0
2757116;24878;0;0;5305924;1;0
2762269;24878;0;0;5311077;1;0
2762446;24878;0;0;5311254;1;0
2762636;24878;0;0;5311444;1;0
2769805;24878;0;0;5318613;1;0
2769876;24878;0;0;5318684;1;0
2772790;24878;0;0;5321598;1;0
2774608;24878;0;0;5323416;1;0
2775339;24878;0;0;5324147;1;0
2778982;24878;0;0;5327790;1;0
2779957;24878;0;0;5328765;1;0
2787123;24878;0;0;5335931;1;0
2787126;24878;0;0;5335934;1;0
2787133;24878;0;0;5335941;1;0
2787677;24878;0;0;5336485;1;0
2787692;24878;0;0;5336500;1;0
2787880;24878;0;0;5336688;1;0
2787931;24878;0;0;5336739;1;0
2787945;24878;0;0;5336753;1;0
2789951;24878;0;0;5338759;1;0
2795706;24878;0;0;5344514;1;0
2795712;24878;0;0;5344520;1;0
2795720;24878;0;0;5344528;1;0
2795907;24878;0;0;5344715;1;0
2796279;24878;0;0;5345087;1;0
2798317;24878;0;0;5347125;1;0
2798619;24878;0;0;5347427;1;0
2802052;24878;0;0;5350860;1;0
2803001;24878;0;0;5351809;1;0
2803318;24878;0;0;5352126;1;0
2803362;24878;0;0;5352170;1;0
2803786;24878;0;0;5352594;1;0
2804217;24878;0;0;5353025;1;0
2811232;24878;0;0;5360040;1;0
2815792;24878;0;0;5364600;1;0
2815933;24878;0;0;5364741;1;0
2816303;24878;0;0;5365111;1;0
2816309;24878;0;0;5365117;1;0
2817853;24878;0;0;5366661;1;0
2830257;24878;0;0;5379065;1;0
2831243;24878;0;0;5380051;1;0
2831255;24878;0;0;5380063;1;0
2833788;24878;0;0;5382596;1;0
2835360;24878;0;0;5384168;1;0
2835547;24878;0;0;5384355;1;0
2835564;24878;0;0;5384372;1;0
2839855;24878;0;0;5388663;1;0
2845389;24878;0;0;5394197;1;0
2845486;24878;0;0;5394294;1;0
2845754;24878;0;0;5394562;1;0
2848059;24878;0;0;5396867;1;0
2849802;24878;0;0;5398610;1;0
2850376;24878;0;0;5399184;1;0
2850393;24878;0;0;5399201;1;0
2850566;24878;0;0;5399374;1;0
2864281;24878;0;0;5413089;1;0
2864285;24878;0;0;5413093;1;0
2864300;24878;0;0;5413108;1;0
2864399;24878;0;0;5413207;1;0
2864546;24878;0;0;5413354;1;0
2864629;24878;0;0;5413437;1;0
2869515;24878;0;0;5418323;1;0
2869611;24878;0;0;5418419;1;0
2869620;24878;0;0;5418428;1;0
2869793;24878;0;0;5418601;1;0
2869884;24878;0;0;5418692;1;0
2874757;24878;0;0;5423565;1;0
2877010;24878;0;0;5425818;1;0
2877317;24878;0;0;5426125;1;0
2877659;24878;0;0;5426467;1;0
2878043;24878;0;0;5426851;1;0
2889697;24878;0;0;5438505;1;0
2890079;24878;0;0;5438887;1;0
2890634;24878;0;0;5439442;1;0
2890703;24878;0;0;5439511;1;0
2891448;24878;0;0;5440256;1;0
2891573;24878;0;0;5440381;1;0
2891931;24878;0;0;5440739;1;0
2891940;24878;0;0;5440748;1;0
2893293;24878;0;0;5442101;1;0
2893304;24878;0;0;5442112;1;0
2893308;24878;0;0;5442116;1;0
2893804;24878;0;0;5442612;1;0
2894315;24878;0;0;5443123;1;0
2895363;24878;0;0;5444171;1;0
2896620;24878;0;0;5445428;1;0
2896695;24878;0;0;5445503;1;0
2901915;24878;0;0;5450723;1;0
2902709;24878;0;0;5451517;1;0
2905632;24878;0;0;5454440;1;0
2910995;24878;0;0;5459803;1;0
2921163;24878;0;0;5469971;1;0
2921390;24878;0;0;5470198;1;0
2921820;24878;0;0;5470628;1;0
2921866;24878;0;0;5470674;1;0
2926788;24878;0;0;5475596;1;0
2929683;24878;0;0;5478491;1;0
2929756;24878;0;0;5478564;1;0
2929778;24878;0;0;5478586;1;0
2930590;24878;0;0;5479398;1;0
2930806;24878;0;0;5479614;1;0
2935796;24878;0;0;5484604;1;0
2938494;24878;0;0;5487302;1;0
2938508;24878;0;0;5487316;1;0
2940705;24878;0;0;5489513;1;0
2940878;24878;0;0;5489686;1;0
2941226;24878;0;0;5490034;1;0
2943592;24878;0;0;5492400;1;0
2943734;24878;0;0;5492542;1;0
2944223;24878;0;0;5493031;1;0
2946746;24878;0;0;5495554;1;0
2952707;24878;0;0;5501515;1;0
2952952;24878;0;0;5501760;1;0
2953082;24878;0;0;5501890;1;0
2955017;24878;0;0;5503825;1;0
2956034;24878;0;0;5504842;1;0
2956179;24878;0;0;5504987;1;0
2959549;24878;0;0;5508357;1;0
2964416;24878;0;0;5513224;1;0
2964424;24878;0;0;5513232;1;0
2964429;24878;0;0;5513237;1;0
2964835;24878;0;0;5513643;1;0
2964870;24878;0;0;5513678;1;0
2965094;24878;0;0;5513902;1;0
2965286;24878;0;0;5514094;1;0
2965329;24878;0;0;5514137;1;0
2966898;24878;0;0;5515706;1;0
2966901;24878;0;0;5515709;1;0
2966961;24878;0;0;5515769;1;0
2967254;24878;0;0;5516062;1;0
2968943;24878;0;0;5517751;1;0
2972701;24878;0;0;5521509;1;0
2975111;24878;0;0;5523919;1;0
2975141;24878;0;0;5523949;1;0
2977538;24878;0;0;5526346;1;0
2977567;24878;0;0;5526375;1;0
2980746;24878;0;0;5529554;1;0
2982326;24878;0;0;5531134;1;0
2982681;24878;0;0;5531489;1;0
2982977;24878;0;0;5531785;1;0
2983672;24878;0;0;5532480;1;0
2984182;24878;0;0;5532990;1;0
2985404;24878;0;0;5534212;1;0
2988041;24878;0;0;5536849;1;0
2988266;24878;0;0;5537074;1;0
2988293;24878;0;0;5537101;1;0
2988299;24878;0;0;5537107;1;0
2988306;24878;0;0;5537114;1;0
2989613;24878;0;0;5538421;1;0
2989904;24878;0;0;5538712;1;0
2992158;24878;0;0;5540966;1;0
2992546;24878;0;0;5541354;1;0
2992879;24878;0;0;5541687;1;0
2992894;24878;0;0;5541702;1;0
2992957;24878;0;0;5541765;1;0
2993275;24878;0;0;5542083;1;0
2995308;24878;0;0;5544116;1;0
2995760;24878;0;0;5544568;1;0
2997323;24878;0;0;5546131;1;0
2997363;24878;0;0;5546171;1;0
2997453;24878;0;0;5546261;1;0
3000954;24878;0;0;5549762;1;0
3001741;24878;0;0;5550549;1;0
3002388;24878;0;0;5551196;1;0
3002723;24878;0;0;5551531;1;0
3006812;24878;0;0;5555620;1;0
3006928;24878;0;0;5555736;1;0
3008698;24878;0;0;5557506;1;0
3008774;24878;0;0;5557582;1;0
3008834;24878;0;0;5557642;1;0
3009538;24878;0;0;5558346;1;0
3011026;24878;0;0;5559834;1;0
3011054;24878;0;0;5559862;1;0
3011787;24878;0;0;5560595;1;0
3012134;24878;0;0;5560942;1;0
3012136;24878;0;0;5560944;1;0
3012139;24878;0;0;5560947;1;0
3012264;24878;0;0;5561072;1;0
3012819;24878;0;0;5561627;1;0
3012963;24878;0;0;5561771;1;0
3013863;24878;0;0;5562671;1;0
3013979;24878;0;0;5562787;1;0
3015570;24878;0;0;5564378;1;0
3020499;24878;0;0;5569307;1;0
3020561;24878;0;0;5569369;1;0
3020941;24878;0;0;5569749;1;0
3020967;24878;0;0;5569775;1;0
3020987;24878;0;0;5569795;1;0
3020996;24878;0;0;5569804;1;0
3021301;24878;0;0;5570109;1;0
3021545;24878;0;0;5570353;1;0
3021785;24878;0;0;5570593;1;0
3023261;24878;0;0;5572069;1;0
3023426;24878;0;0;5572234;1;0
3023431;24878;0;0;5572239;1;0
3023586;24878;0;0;5572394;1;0
3023597;24878;0;0;5572405;1;0
3023822;24878;0;0;5572630;1;0
3024325;24878;0;0;5573133;1;0
3025495;24878;0;0;5574303;1;0
3025636;24878;0;0;5574444;1;0
3025942;24878;0;0;5574750;1;0
3026007;24878;0;0;5574815;1;0
3028622;24878;0;0;5577430;1;0
3030032;24878;0;0;5578840;1;0
3030394;24878;0;0;5579202;1;0
3030815;24878;0;0;5579623;1;0
3031233;24878;0;0;5580041;1;0
3031238;24878;0;0;5580046;1;0
3031469;24878;0;0;5580277;1;0
3031636;24878;0;0;5580444;1;0
3034700;24878;0;0;5583508;1;0
3035266;24878;0;0;5584074;1;0
3035467;24878;0;0;5584275;1;0
3035917;24878;0;0;5584725;1;0
3035929;24878;0;0;5584737;1;0
3037813;24878;0;0;5586621;1;0
3039403;24878;0;0;5588211;1;0
3039940;24878;0;0;5588748;1;0
3040533;24878;0;0;5589341;1;0
3041450;24878;0;0;5590258;1;0
3041727;24878;0;0;5590535;1;0
3042312;24878;0;0;5591120;1;0
3043417;24878;0;0;5592225;1;0
3044649;24878;0;0;5593457;1;0
3046744;24878;0;0;5595552;1;0
3047128;24878;0;0;5595936;1;0
3053255;24878;0;0;5602063;1;0
3053439;24878;0;0;5602247;1;0
3055568;24878;0;0;5604376;1;0
3056256;24878;0;0;5605064;1;0
3056556;24878;0;0;5605364;1;0
3056705;24878;0;0;5605513;1;0
3056827;24878;0;0;5605635;1;0
3056876;24878;0;0;5605684;1;0
3057036;24878;0;0;5605844;1;0
3057037;24878;0;0;5605845;1;0
3057040;24878;0;0;5605848;1;0
3057041;24878;0;0;5605849;1;0
3057042;24878;0;0;5605850;1;0
3058878;24878;0;0;5607686;1;0
3063858;24878;0;0;5612666;1;0
3065075;24878;0;0;5613883;1;0
3065090;24878;0;0;5613898;1;0
3065404;24878;0;0;5614212;1;0
3065492;24878;0;0;5614300;1;0
3065928;24878;0;0;5614736;1;0
3067154;24878;0;0;5615962;1;0
3068642;24878;0;0;5617450;1;0
3071175;24878;0;0;5619983;1;0
3072246;24878;0;0;5621054;1;0
3072273;24878;0;0;5621081;1;0
3073988;24878;0;0;5622796;1;0
3073993;24878;0;0;5622801;1;0
3080590;24878;0;0;5629398;1;0
3080774;24878;0;0;5629582;1;0
3081441;24878;0;0;5630249;1;0
3083121;24878;0;0;5631929;1;0
3083919;24878;0;0;5632727;1;0
3083974;24878;0;0;5632782;1;0
3085414;24878;0;0;5634222;1;0
3085782;24878;0;0;5634590;1;0
3085938;24878;0;0;5634746;1;0
3086448;24878;0;0;5635256;1;0
3087106;24878;0;0;5635914;1;0
3087180;24878;0;0;5635988;1;0
3087697;24878;0;0;5636505;1;0
3088372;24878;0;0;5637180;1;0
3090281;24878;0;0;5639089;1;0
3090424;24878;0;0;5639232;1;0
3091904;24878;0;0;5640712;1;0
3091967;24878;0;0;5640775;1;0
3095831;24878;0;0;5644639;1;0
3095860;24878;0;0;5644668;1;0
3097328;24878;0;0;5646136;1;0
3097349;24878;0;0;5646157;1;0
3097361;24878;0;0;5646169;1;0
3097667;24878;0;0;5646475;1;0
3097673;24878;0;0;5646481;1;0
3109129;24878;0;0;5657937;1;0
3109439;24878;0;0;5658247;1;0
3110523;24878;0;0;5659331;1;0
3116319;24878;0;0;5665127;1;0
3116378;24878;0;0;5665186;1;0
3125561;24878;0;0;5674369;1;0
3125632;24878;0;0;5674440;1;0
3128309;24878;0;0;5677117;1;0
3128353;24878;0;0;5677161;1;0
3128683;24878;0;0;5677491;1;0
3128771;24878;0;0;5677579;1;0
3132005;24878;0;0;5680813;1;0
3132837;24878;0;0;5681645;1;0
3132932;24878;0;0;5681740;1;0
3133262;24878;0;0;5682070;1;0
3133271;24878;0;0;5682079;1;0
3135941;24878;0;0;5684749;1;0
3136018;24878;0;0;5684826;1;0
3136039;24878;0;0;5684847;1;0
3137085;24878;0;0;5685893;1;0
3137090;24878;0;0;5685898;1;0
3145818;24878;0;0;5694626;1;0
3146236;24878;0;0;5695044;1;0
3146275;24878;0;0;5695083;1;0
3147485;24878;0;0;5696293;1;0
3147534;24878;0;0;5696342;1;0
3148287;24878;0;0;5697095;1;0
3148644;24878;0;0;5697452;1;0
3148806;24878;0;0;5697614;1;0
3150008;24878;0;0;5698816;1;0
3151952;24878;0;0;5700760;1;0
3152010;24878;0;0;5700818;1;0
3152902;24878;0;0;5701710;1;0
3153584;24878;0;0;5702392;1;0
3154257;24878;0;0;5703065;1;0
3154687;24878;0;0;5703495;1;0
3155090;24878;0;0;5703898;1;0
3156105;24878;0;0;5704913;1;0
3159224;24878;0;0;5708032;1;0
3159305;24878;0;0;5708113;1;0
3160473;24878;0;0;5709281;1;0
3160756;24878;0;0;5709564;1;0
3160759;24878;0;0;5709567;1;0
3162603;24878;0;0;5711411;1;0
3162610;24878;0;0;5711418;1;0
3163986;24878;0;0;5712794;1;0
3165775;24878;0;0;5714583;1;0
3166033;24878;0;0;5714841;1;0
3166186;24878;0;0;5714994;1;0
3166740;24878;0;0;5715548;1;0
3166791;24878;0;0;5715599;1;0
3166803;24878;0;0;5715611;1;0
3168954;24878;0;0;5717763;1;0
3170504;24878;0;0;5719312;1;0
3170799;24878;0;0;5719607;1;0
3172450;24878;0;0;5721258;1;0
3174953;24878;0;0;5723761;1;0
3176117;24878;0;0;5724925;1;0
3176163;24878;0;0;5724971;1;0
3176182;24878;0;0;5724990;1;0
3179128;24878;0;0;5727936;1;0
3179472;24878;0;0;5728280;1;0
3181250;24878;0;0;5730058;1;0
3182053;24878;0;0;5730862;1;0
3182456;24878;0;0;5731264;1;0
3186090;24878;0;0;5734898;1;0
3186645;24878;0;0;5735453;1;0
3187175;24878;0;0;5735983;1;0
3189874;24878;0;0;5738682;1;0
3190567;24878;0;0;5739375;1;0
3191450;24878;0;0;5740258;1;0
3191460;24878;0;0;5740268;1;0
3191703;24878;0;0;5740511;1;0
3192226;24878;0;0;5741034;1;0
3192889;24878;0;0;5741697;1;0
3194807;24878;0;0;5743615;1;0
3197396;24878;0;0;5746204;1;0
3198043;24878;0;0;5746851;1;0
3198982;24878;0;0;5747790;1;0
3199568;24878;0;0;5748376;1;0
3199691;24878;0;0;5748499;1;0
3199807;24878;0;0;5748615;1;0
3201459;24878;0;0;5750267;1;0
3202001;24878;0;0;5750809;1;0
3202177;24878;0;0;5750985;1;0
3202407;24878;0;0;5751215;1;0
3203373;24878;0;0;5752181;1;0
3209789;24878;0;0;5758597;1;0
3209803;24878;0;0;5758611;1;0
3209816;24878;0;0;5758624;1;0
3210739;24878;0;0;5759547;1;0
3211426;24878;0;0;5760234;1;0
3211572;24878;0;0;5760380;1;0
3211593;24878;0;0;5760401;1;0
3211632;24878;0;0;5760440;1;0
3211799;24878;0;0;5760607;1;0
3213268;24878;0;0;5762076;1;0
3213290;24878;0;0;5762098;1;0
3213314;24878;0;0;5762122;1;0
3213356;24878;0;0;5762164;1;0
3213427;24878;0;0;5762235;1;0
3214297;24878;0;0;5763105;1;0
3214319;24878;0;0;5763127;1;0
3216768;24878;0;0;5765576;1;0
3216788;24878;0;0;5765596;1;0
3219113;24878;0;0;5767921;1;0
3223767;24878;0;0;5772575;1;0
3223970;24878;0;0;5772778;1;0
3224704;24878;0;0;5773512;1;0
3226451;24878;0;0;5775259;1;0
3229028;24878;0;0;5777836;1;0
3230518;24878;0;0;5779326;1;0
3233320;24878;0;0;5782128;1;0
3235957;24878;0;0;5784765;1;0
3236019;24878;0;0;5784827;1;0
3236730;24878;0;0;5785538;1;0
3236771;24878;0;0;5785579;1;0
3237198;24878;0;0;5786006;1;0
3240852;24878;0;0;5789660;1;0
3241383;24878;0;0;5790191;1;0
3243736;24878;0;0;5792544;1;0
3248777;24878;0;0;5797585;1;0
3249542;24878;0;0;5798350;1;0
3250606;24878;0;0;5799414;1;0
3250906;24878;0;0;5799714;1;0
3251845;24878;0;0;5800653;1;0
3253152;24878;0;0;5801960;1;0
3255072;24878;0;0;5803880;1;0
3256222;24878;0;0;5805030;1;0
3256503;24878;0;0;5805311;1;0
3257604;24878;0;0;5806412;1;0
3258229;24878;0;0;5807037;1;0
3259184;24878;0;0;5807992;1;0
3259194;24878;0;0;5808002;1;0
3259337;24878;0;0;5808145;1;0
3259548;24878;0;0;5808356;1;0
3261968;24878;0;0;5810776;1;0
3262593;24878;0;0;5811401;1;0
3262623;24878;0;0;5811431;1;0
3262676;24878;0;0;5811484;1;0
3263054;24878;0;0;5811862;1;0
3265897;24878;0;0;5814705;1;0
3267159;24878;0;0;5815967;1;0
3270339;24878;0;0;5819147;1;0
3270488;24878;0;0;5819296;1;0
3273711;24878;0;0;5822519;1;0
3273811;24878;0;0;5822619;1;0
3276650;24878;0;0;5825458;1;0
3276827;24878;0;0;5825635;1;0
3277052;24878;0;0;5825860;1;0
3278380;24878;0;0;5827188;1;0
3279548;24878;0;0;5828356;1;0
3279587;24878;0;0;5828395;1;0
3281235;24878;0;0;5830043;1;0
3281638;24878;0;0;5830446;1;0
3282179;24878;0;0;5830987;1;0
3283263;24878;0;0;5832071;1;0
3283277;24878;0;0;5832085;1;0
3283550;24878;0;0;5832358;1;0
3286826;24878;0;0;5835634;1;0
3291421;24878;0;0;5840229;1;0
3292949;24878;0;0;5841757;1;0
3294964;24878;0;0;5843772;1;0
3295434;24878;0;0;5844242;1;0
3295621;24878;0;0;5844429;1;0
3297327;24878;0;0;5846135;1;0
3298311;24878;0;0;5847119;1;0
3298319;24878;0;0;5847127;1;0
3299202;24878;0;0;5848010;1;0
3300444;24878;0;0;5849252;1;0
3304327;24878;0;0;5853135;1;0
3304733;24878;0;0;5853541;1;0
3305828;24878;0;0;5854636;1;0
3306761;24878;0;0;5855569;1;0
3307460;24878;0;0;5856268;1;0
3319661;24878;0;0;5868469;1;0
3327815;24878;0;0;5876623;1;0
3327978;24878;0;0;5876786;1;0
3329873;24878;0;0;5878681;1;0
3329920;24878;0;0;5878728;1;0
3330615;24878;0;0;5879423;1;0
3330669;24878;0;0;5879477;1;0
3333014;24878;0;0;5881822;1;0
3333365;24878;0;0;5882173;1;0
3334000;24878;0;0;5882808;1;0
3334185;24878;0;0;5882993;1;0
3334416;24878;0;0;5883224;1;0
3334832;24878;0;0;5883640;1;0
3334996;24878;0;0;5883804;1;0
3335006;24878;0;0;5883814;1;0
3335089;24878;0;0;5883897;1;0
3335154;24878;0;0;5883962;1;0
3335359;24878;0;0;5884167;1;0
3337976;24878;0;0;5886784;1;0
3338037;24878;0;0;5886845;1;0
3338506;24878;0;0;5887314;1;0
3339859;24878;0;0;5888667;1;0
3339901;24878;0;0;5888709;1;0
3344819;24878;0;0;5893627;1;0
3345004;24878;0;0;5893812;1;0
