idProducto;idEmpresa;idProvee;idMutua;codigo;nombre;descripcion;estado;ventap;envase;tipo;unidades;precioc;preciop;iva;descuento;preciof;base;aviso1;aviso2;idImport;codBarras;idFranquicia;audifono;idImport2;categoria
881839;24878;238909;0;001;Implante;;0;0;;1;1;120;0;0;0;0;0;50;20;0;;0;0;0;0
896785;24878;242747;0;002;"RES012 REBASADO";REBASADO;0;0;;1;1;45;0;0;0;0;0;0;0;0;2025061116252;0;0;0;0
896947;24878;242873;0;002;"BLT Implante Straumann 3,3 x 10";"REF: 021.3510
LOT: MNYZ9";1;1;;1;2;150;150;10;0;165;150;0;0;0;;0;0;0;0
896948;24878;242873;0;003;"BLT Implante Straumann 3,3 x 10";"REF: 021.3510
LOT: MNYZ9";0;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896950;24878;242873;0;004;"BLT Implante Straumann 3,3 x 8";"REF: 021.3508
LOT: MKXH2";1;1;;1;2;150;150;10;0;165;150;0;0;0;;0;0;0;0
896951;24878;242873;0;005;"BLT Implante Straumann 3,3 x 8";"REF: 021.3508
LOT: MKXH2";0;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896952;24878;242873;0;006;"BLT Implante Straumann 4,1 x 12";"REF: 021.5512
LOT: MFEC9";1;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896953;24878;242873;0;007;"BLT Implante Straumann 4,1 x 10";"REF: 021.5510
LOT: MAFC6";1;1;;1;3;150;150;10;0;165;150;0;0;0;;0;0;0;0
896954;24878;242873;0;008;"BLT Implante Straumann 4,1 x 10";"REF: 021.5510
LOT: MAFC6";0;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896955;24878;242873;0;009;"BLT Implante Straumann 4,1 x 10";"REF: 021.5510
LOT: MAFC6";0;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896956;24878;242873;0;010;"BLT Implante Straumann 4,1 x 8";"REF: 021.5508
LOT: MHTL7";1;1;;1;2;150;150;10;0;165;150;0;0;0;;0;0;0;0
896958;24878;242873;0;011;"BLT Implante Straumann 4,1 x 8";"REF: 021.5508
LOT: MHTL7";0;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896960;24878;242873;0;012;"BLT Implante Straumann 4.8 x 10";"REF: 021.7510
LOT: MFZZ4";1;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896961;24878;242873;0;013;"BLT Implante Straumann 4.8 x 8";"REF: 021.7508
LOT: MANX5";1;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896962;24878;242873;0;014;"TL Implante Straumann 4.8 x 10";"REF: 043.063S
LOT: ALZA5";1;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
896963;24878;242873;0;015;"TL Implante Straumann 4.1 x 10";"REF:043.157S
LOT: KXLR5";1;1;;1;1;150;150;10;0;165;150;0;0;0;;0;0;0;0
897051;24878;242873;0;016;"Multiunit IBO (Straumann 4.1 ALT: 1.5)";"REF: HI-41801
LOT: IB2500166";1;1;;1;2;0;0;0;0;0;0;0;0;0;;0;0;0;0
897052;24878;242873;0;017;"Multiunit IBO (Straumann 4.1 ALT: 2.5)";"REF: 41802
LOT: IB2401328";1;1;;1;2;0;0;0;0;0;0;0;0;0;;0;0;0;0
897053;24878;242873;0;018;"Multiunit IBO (Straumann 4.1 ALT: 3.5)";"REF: HI-41803
LOT: IB2400148";1;1;;1;2;0;0;0;0;0;0;0;0;0;;0;0;0;0
897054;24878;242873;0;019;"Multiunit IBO (Straumann 3.3  ALT: 1.5)";"REF: HI-33801
LOT: IB2500006";1;1;;1;2;0;0;0;0;0;0;0;0;0;;0;0;0;0
897055;24878;242873;0;020;"Multiunit IBO (Straumann 3.3  ALT: 2.5)";"REF: HI-33802
LOT: IB2400477";1;1;;1;2;0;0;0;0;0;0;0;0;0;;0;0;0;0
897056;24878;242873;0;021;"Multiunit IBO (Straumann 3.3  ALT: 3.5)";"REF: HI-33803
LOT: IB2400530";1;1;;1;1;0;0;0;0;0;0;0;0;0;;0;0;0;0
