idRegistro;idUsuario;idEmpresa;tipo_operacion;fecha;hora_local;direccion_ip;dispositivo;plataforma;ubicacion;fecha_edicion;usuario_edicion;ip_edicion;descripcion;manual
3121430;197256;24878;0;"2025-02-26 13:04:55";"2025-02-26 13:04:55";92.56.5.48;Ordenador;"Chrome 133";;;;;;0
3121431;197256;24878;1;"2025-02-26 13:05:09";"2025-02-26 13:05:09";92.56.5.48;Ordenador;"Chrome 133";;;;;;0
3356008;204022;24878;0;"2025-05-20 09:00:00";"2025-05-20 09:00:00";31.4.225.103;true;"Safari 18";;;;;;1
3356009;204022;24878;2;"2025-05-20 14:00:00";"2025-05-20 14:00:00";31.4.225.103;true;"Safari 18";;;;;;1
3356010;204022;24878;3;"2025-05-20 15:00:00";"2025-05-20 15:00:00";31.4.225.103;true;"Safari 18";;;;;;1
3356011;204022;24878;1;"2025-05-20 20:00:00";"2025-05-20 20:00:00";31.4.225.103;true;"Safari 18";;;;;;1
3356027;203131;24878;0;"2025-05-20 09:00:00";"2025-05-20 09:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1364736";;;;;1
3356028;203131;24878;2;"2025-05-20 14:00:00";"2025-05-20 14:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1364736";;;;;1
3356029;203131;24878;3;"2025-05-20 15:00:00";"2025-05-20 15:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1364736";;;;;1
3356030;203131;24878;1;"2025-05-20 20:00:00";"2025-05-20 20:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1364736";;;;;1
3360553;203131;24878;0;"2025-05-21 09:00:00";"2025-05-21 09:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3663232 / Long:2.1331968";;;;;1
3360554;203131;24878;2;"2025-05-21 14:00:00";"2025-05-21 14:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3663232 / Long:2.1331968";;;;;1
3360555;203131;24878;3;"2025-05-21 15:00:00";"2025-05-21 15:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3663232 / Long:2.1331968";;;;;1
3360556;203131;24878;1;"2025-05-21 20:00:00";"2025-05-21 20:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3663232 / Long:2.1331968";;;;;1
3365320;204022;24878;0;"2025-05-22 09:00:00";"2025-05-22 09:00:00";47.60.48.57;true;"Safari 18";;;;;;1
3365321;204022;24878;2;"2025-05-22 14:00:00";"2025-05-22 14:00:00";47.60.48.57;true;"Safari 18";;;;;;1
3365322;204022;24878;3;"2025-05-22 15:00:00";"2025-05-22 15:00:00";47.60.48.57;true;"Safari 18";;;;;;1
3365323;204022;24878;1;"2025-05-22 20:00:00";"2025-05-22 20:00:00";47.60.48.57;true;"Safari 18";;;;;;1
3365406;204068;24878;0;"2025-05-21 15:00:00";"2025-05-21 15:00:00";90.160.207.47;true;"Safari 604";;;;;;1
3365407;204068;24878;2;"2025-05-21 18:00:00";"2025-05-21 18:00:00";90.160.207.47;true;"Safari 604";;;;;;1
3365408;204068;24878;3;"2025-05-21 18:20:00";"2025-05-21 18:20:00";90.160.207.47;true;"Safari 604";;;;;;1
3365409;204068;24878;1;"2025-05-21 20:00:00";"2025-05-21 20:00:00";90.160.207.47;true;"Safari 604";;;;;;1
3365690;203131;24878;0;"2025-05-22 09:00:00";"2025-05-22 09:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.353216 / Long:2.1331968";;;;;1
3365691;203131;24878;1;"2025-05-22 14:00:00";"2025-05-22 14:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.353216 / Long:2.1331968";;;;;1
3368745;204068;24878;0;"2025-05-22 09:00:00";"2025-05-22 09:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.353216 / Long:2.1331968";;;;;1
3368746;204068;24878;2;"2025-05-22 14:00:00";"2025-05-22 14:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.353216 / Long:2.1331968";;;;;1
3368747;204068;24878;3;"2025-05-22 15:00:00";"2025-05-22 15:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.353216 / Long:2.1331968";;;;;1
3368748;204068;24878;1;"2025-05-22 20:00:00";"2025-05-22 20:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.353216 / Long:2.1331968";;;;;1
3372214;203131;24878;0;"2025-05-23 15:00:00";"2025-05-23 15:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1397504";;;;;1
3372215;203131;24878;1;"2025-05-23 20:00:00";"2025-05-23 20:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1397504";;;;;1
3373868;203131;24878;0;"2025-05-26 09:00:00";"2025-05-26 09:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1430272";;;;26/05/2025;1
3373869;203131;24878;2;"2025-05-26 14:00:00";"2025-05-26 14:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1430272";;;;26/05/2025;1
3373870;203131;24878;3;"2025-05-26 15:00:00";"2025-05-26 15:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1430272";;;;26/05/2025;1
3373871;203131;24878;1;"2025-05-26 20:00:00";"2025-05-26 20:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3597696 / Long:2.1430272";;;;26/05/2025;1
3374208;204068;24878;0;"2025-05-26 09:00:00";"2025-05-26 09:00:00";90.167.94.248;true;"Safari 604";;;;;"26 de mayo 2025";1
3374209;204068;24878;1;"2025-05-26 14:00:00";"2025-05-26 14:00:00";90.167.94.248;true;"Safari 604";;;;;"26 de mayo 2025";1
3377269;204022;24878;0;"2025-05-26 15:00:00";"2025-05-26 15:00:00";90.173.187.34;true;"Safari 18";;;;;"Jornada tarde";1
3377270;204022;24878;2;"2025-05-26 19:50:00";"2025-05-26 19:50:00";90.173.187.34;true;"Safari 18";;;;;"Jornada tarde";1
3377271;204022;24878;3;"2025-05-26 19:55:00";"2025-05-26 19:55:00";90.173.187.34;true;"Safari 18";;;;;"Jornada tarde";1
3377272;204022;24878;1;"2025-05-26 20:00:00";"2025-05-26 20:00:00";90.173.187.34;true;"Safari 18";;;;;"Jornada tarde";1
3378400;204022;24878;0;"2025-05-27 09:00:00";"2025-05-27 09:00:00";90.173.187.34;Ordenador;"Chrome 128";;;;;-;1
3378401;204022;24878;2;"2025-05-27 14:00:00";"2025-05-27 14:00:00";90.173.187.34;Ordenador;"Chrome 128";;;;;-;1
3378402;204022;24878;3;"2025-05-27 15:00:00";"2025-05-27 15:00:00";90.173.187.34;Ordenador;"Chrome 128";;;;;-;1
3378403;204022;24878;1;"2025-05-27 20:00:00";"2025-05-27 20:00:00";90.173.187.34;Ordenador;"Chrome 128";;;;;-;1
3378553;203131;24878;0;"2025-05-27 09:00:00";"2025-05-27 09:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3602183 / Long:2.1380787";;;;"martes mañana";1
3378554;203131;24878;1;"2025-05-27 14:00:00";"2025-05-27 14:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3602183 / Long:2.1380787";;;;"martes mañana";1
3382194;204068;24878;0;"2025-05-27 15:00:00";"2025-05-27 15:00:00";92.56.13.171;true;"Safari 604";;;;;"27 de mayo 2025";1
3382195;204068;24878;1;"2025-05-27 20:00:00";"2025-05-27 20:00:00";92.56.13.171;true;"Safari 604";;;;;"27 de mayo 2025";1
3382941;203131;24878;0;"2025-05-28 09:00:00";"2025-05-28 09:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3602208 / Long:2.1380771";;;;28/05/2025;1
3382942;203131;24878;2;"2025-05-28 14:00:00";"2025-05-28 14:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3602208 / Long:2.1380771";;;;28/05/2025;1
3382943;203131;24878;3;"2025-05-28 15:00:00";"2025-05-28 15:00:00";90.173.187.34;Ordenador;"Chrome 136";"Lat:41.3602208 / Long:2.1380771";;;;28/05/2025;1
