idServicio;idEmpresa;nombre;importe;esbono;numcitas;estado;idTipoServicio;color;duracion;odontograma;idImport;descripcion;precioc;preciop;iva;descuento;reten;margenCaducidad;idMutua;online;despiezado;fases;equivalencia;idFranquicia;categoria;disponibleCita;doctoralia;seoga_id;base;precio;agrupable
3151227;24878;"Primera Visita";50;0;1;1;294925;18;30;-1;0;;0;50;0;0;0;0;0;0;0;0;3146298;0;0;1;0;0;50;50;2
3151228;24878;"Extracción Simple";60;0;1;1;294919;2;30;3;0;;0;60;0;0;0;0;0;0;0;0;3146299;0;0;1;0;0;60;60;0
3174481;24878;OPG;40;0;1;1;294925;18;15;-1;0;;0;40;0;0;0;0;0;0;0;0;3166334;0;0;1;0;0;40;40;2
3174482;24878;"Estudio Implantologico";100;0;1;1;294919;2;30;-1;0;;0;100;0;0;0;0;0;0;0;0;3166335;0;0;1;0;0;100;100;2
3174483;24878;CBCT;80;0;1;1;294925;18;15;-1;0;;0;80;0;0;0;0;0;0;0;0;3166336;0;0;1;0;0;80;80;2
3174484;24878;"Obturacion CLASE I";60;0;1;1;294921;20;45;-1;0;;0;60;0;0;0;0;0;0;0;0;3166338;0;0;1;0;0;60;60;0
3174485;24878;"Obturacion CLASE II (OM o OD)";80;0;1;1;294921;20;40;-1;0;;0;80;0;0;0;0;0;0;0;0;3166339;0;0;1;0;0;80;80;0
3174486;24878;"Obturacion CLASE II (MOD)";100;0;1;1;294921;20;40;-1;0;;0;100;0;0;0;0;0;0;0;0;3166340;0;0;1;0;0;100;100;0
3174488;24878;"Obturacion CLASE III";100;0;1;1;294921;20;45;-1;0;;0;100;0;0;0;0;0;0;0;0;3166341;0;0;1;0;0;100;100;0
3174490;24878;"Obturacion CLASE IV";150;0;1;1;294921;20;60;-1;0;;0;150;0;0;0;0;0;0;0;0;3166343;0;0;1;0;0;150;150;0
3174491;24878;"Obturacion CLASE V";80;0;1;1;294921;20;30;-1;0;;0;80;0;0;0;0;0;0;0;0;3166344;0;0;1;0;0;80;80;0
3174492;24878;"Raspado y alisado radicular";100;0;1;1;294922;12;30;-1;0;;0;100;0;0;0;0;0;0;0;0;3166345;0;0;1;0;0;100;100;3
3174494;24878;Tartrectomia;60;0;1;1;294925;18;30;-1;0;;0;60;0;0;0;0;0;0;0;0;3166347;0;0;1;0;0;60;60;2
3174495;24878;Mantenemiento;95;0;1;1;294925;18;45;-1;0;;0;95;0;0;0;0;0;0;0;0;3166348;0;0;1;0;0;95;95;2
3174496;24878;"Reconstruccion sin poste";80;0;1;1;294921;20;40;-1;0;;0;80;0;0;0;0;0;0;0;0;3166349;0;0;1;0;0;80;80;0
3174497;24878;"Reconstruccion con poste";120;0;1;1;294921;20;60;-1;0;;0;120;0;0;0;0;0;0;0;0;3166350;0;0;1;0;0;120;120;0
3174501;24878;"Extraccion compleja";100;0;1;1;294919;2;40;-1;0;;0;100;0;0;0;0;0;0;0;0;3166352;0;0;1;0;0;100;100;0
3174507;24878;"Carilla de composite";200;0;1;1;296886;21;60;-1;0;;0;200;0;0;0;0;0;0;0;0;3166359;0;0;1;0;0;200;200;0
3174508;24878;"Carilla de disilicato o feldespato ";400;0;1;1;296887;10;60;-1;0;;0;400;0;0;0;0;0;0;0;0;3166360;0;0;1;0;0;400;400;0
3174509;24878;"Incrusta (Inlay, Onlay, Overlay, Xlay)";350;0;1;1;296887;10;30;-1;0;;0;350;0;0;0;0;0;0;0;0;3166361;0;0;1;0;0;350;350;0
3174510;24878;"Corona S/Diente (Zirconia o Metal-Ceramica)";450;0;1;1;296887;10;40;-1;0;;0;450;0;0;0;0;0;0;0;0;3166362;0;0;1;0;0;450;450;0
3174512;24878;"Corona S/Implante";700;0;1;1;296887;10;30;-1;0;;0;700;0;0;0;0;0;0;0;0;3166364;0;0;1;0;0;700;700;0
3174513;24878;"Provisional S/Diente";80;0;1;1;296887;10;30;-1;0;;0;80;0;0;0;0;0;0;0;0;3166365;0;0;1;0;0;80;80;0
3174514;24878;"Provisional S/Implante";150;0;1;1;296887;10;30;-1;0;;0;150;0;0;0;0;0;0;0;0;3166366;0;0;1;0;0;150;150;0
3174515;24878;"Extraccion Cordal Quirurgica ";250;0;1;1;294919;2;60;-1;0;;0;250;0;0;0;0;0;0;0;0;3166367;0;0;1;0;0;250;250;0
3174517;24878;"Endodoncia Monoradicular";180;0;1;1;294920;24;40;-1;0;;0;180;0;0;0;0;0;0;0;0;3166369;0;0;1;0;0;180;180;0
3174518;24878;"Endodoncia Biradicular";220;0;1;1;294920;24;60;-1;0;;0;220;0;0;0;0;0;0;0;0;3166370;0;0;1;0;0;220;220;0
